specialization,missing_skill,market_demand_score,curriculum_coverage_score,urgency_score,emergence_score,recommendation,evidence
Especialización en Visual Analytics y Big Data,comunicacion,0.5,0.35,0.355,0.12,Profundizar comunicacion mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.5, ""evidence_sources"": {""portal_taxonomy"": 5}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,trabajo en equipo,0.4,0.35,0.29,0.12,Profundizar trabajo en equipo mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.4, ""evidence_sources"": {""portal_taxonomy"": 4}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,resolucion de problemas,0.3,0.35,0.225,0.12,Profundizar resolucion de problemas mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.3, ""evidence_sources"": {""portal_taxonomy"": 3}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,Oracle,0.3,0.35,0.225,0.12,Profundizar Oracle mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.3, ""evidence_sources"": {""portal_taxonomy"": 3}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,Agile,0.3,0.35,0.225,0.12,Profundizar Agile mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.3, ""evidence_sources"": {""portal_taxonomy"": 3}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,liderazgo,0.2,0.35,0.16,0.12,Profundizar liderazgo mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.2, ""evidence_sources"": {""portal_taxonomy"": 2}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,ingles,0.2,0.35,0.16,0.12,Profundizar ingles mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.2, ""evidence_sources"": {""portal_taxonomy"": 2}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,PostgreSQL,0.2,0.35,0.16,0.12,Profundizar PostgreSQL mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.2, ""evidence_sources"": {""portal_taxonomy"": 2}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,APIs,0.3,0.75,0.105,0.12,Profundizar APIs mediante actividades aplicadas vinculadas a Software/Data Platform.,"{""cluster_name"": ""Software/Data Platform"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.3, ""evidence_sources"": {""portal_taxonomy"": 3}, ""roles"": [], ""reason"": ""Skill relacionada semanticamente con competencias o herramientas curriculares."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,scikit-learn,0.1,0.35,0.095,0.12,Profundizar scikit-learn mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,pandas,0.1,0.35,0.095,0.12,Profundizar pandas mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,gestion de stakeholders,0.1,0.35,0.095,0.12,Profundizar gestion de stakeholders mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,Scrum,0.1,0.35,0.095,0.12,Profundizar Scrum mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,SSIS,0.1,0.35,0.095,0.12,Profundizar SSIS mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,SQL Server,0.1,0.35,0.095,0.12,Profundizar SQL Server mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,MLflow,0.1,0.35,0.095,0.12,Profundizar MLflow mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,Kanban,0.1,0.35,0.095,0.12,Profundizar Kanban mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,Kafka,0.1,0.35,0.095,0.12,Profundizar Kafka mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,ELT,0.1,0.35,0.095,0.12,Profundizar ELT mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill transversal o de soporte necesaria para el desempeño profesional y la trazabilidad curricular, aunque no aparezca como competencia nuclear del grafo."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,PL/SQL,0.1,0.81,0.049,0.12,Profundizar PL/SQL mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill relacionada semanticamente con competencias o herramientas curriculares."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,NoSQL,0.1,0.81,0.049,0.12,Profundizar NoSQL mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill relacionada semanticamente con competencias o herramientas curriculares."", ""metric_period"": ""2026-05""}"
Especialización en Visual Analytics y Big Data,MySQL,0.1,0.81,0.049,0.12,Profundizar MySQL mediante actividades aplicadas vinculadas a Enterprise Analytics.,"{""cluster_name"": ""Enterprise Analytics"", ""coverage_status"": ""partial"", ""evidence_weight"": 0.1, ""evidence_sources"": {""portal_taxonomy"": 1}, ""roles"": [], ""reason"": ""Skill relacionada semanticamente con competencias o herramientas curriculares."", ""metric_period"": ""2026-05""}"
